"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","MEASYEAR","SOILSPCT","COMPCPCT","TYPRTDCD","TYPCMPCD","TYPAREACD","TYPOTHRCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"232522291010854","22339564010478",2003,1,1,27,1,2003,30,0,,,,,"",2010-07-01,"10854","",,""
"232522292010854","22339564010478",2003,1,1,27,2,2003,70,0,,,,,"",2010-07-01,"10854","",,""
"232522293010854","22339564010478",2003,1,1,27,3,2003,15,0,,,,,"",2010-07-01,"10854","",,""
"232522294010854","22339564010478",2003,1,1,27,4,2003,15,0,,,,,"",2010-07-01,"10854","",,""
"232522219010854","22339654010478",2003,1,3,36,1,2003,20,0,,,,,"",2010-07-01,"10854","",,""
"232522220010854","22339654010478",2003,1,3,36,2,2003,10,0,,,,,"",2010-07-01,"10854","",,""
"232522221010854","22339654010478",2003,1,3,36,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522222010854","22339654010478",2003,1,3,36,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522223010854","22339758010478",2003,1,3,101,1,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522224010854","22339758010478",2003,1,3,101,2,2003,20,0,,,,,"",2010-07-01,"10854","",,""
"232522225010854","22339758010478",2003,1,3,101,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522226010854","22339758010478",2003,1,3,101,4,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522147010854","22332901010478",2003,1,5,44,1,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522148010854","22332901010478",2003,1,5,44,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522149010854","22332901010478",2003,1,5,44,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522150010854","22332901010478",2003,1,5,44,4,2003,10,0,,,,,"",2010-07-01,"10854","",,""
"232522207010854","22332976010478",2003,1,7,32,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522208010854","22332976010478",2003,1,7,32,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522209010854","22332976010478",2003,1,7,32,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522210010854","22332976010478",2003,1,7,32,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522191010854","22333226010478",2003,1,13,50,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522192010854","22333226010478",2003,1,13,50,2,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522193010854","22333226010478",2003,1,13,50,3,2003,15,30,0,0,1,0,"",2010-07-01,"10854","",,""
"232522194010854","22333226010478",2003,1,13,50,4,2003,1,50,0,0,1,0,"",2010-07-01,"10854","",,""
"232522151010854","22333367010478",2003,1,17,41,1,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522152010854","22333367010478",2003,1,17,41,2,2003,1,0,,,,,"",2010-07-01,"10854","",,""
"232522153010854","22333367010478",2003,1,17,41,3,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522154010854","22333367010478",2003,1,17,41,4,2003,0,0,,,,,"",2010-07-01,"10854","",,""
"232522315010854","22333615010478",2003,1,23,24,1,2003,10,35,1,1,0,0,"",2010-07-01,"10854","",,""
"232522316010854","22333615010478",2003,1,23,24,2,2003,10,15,0,1,0,0,"",2010-07-01,"10854","",,""
"232522317010854","22333615010478",2003,1,23,24,3,2003,5,0,,,,,"",2010-07-01,"10854","",,""
"232522318010854","22333615010478",2003,1,23,24,4,2003,1,0,,,,,"",2010-07-01,"10854","",,""
