"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","MEASYEAR","FORFLTHK","LTRLRTHK","FORFLTHKN","LTRLRTHKN","FORFLTHKS","LTRLRTHKS","FORFLTHKE","LTRLRTHKE","FORFLTHKW","LTRLRTHKW","CONDID","VSTNBR","TXTRLYR1","TXTRLYR2","DPTHSBSL","SOILS_STATCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"232522441010854","22339564010478",2003,1,1,27,2,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,"",2010-07-01,"10854","",,""
"232522442010854","22339564010478",2003,1,1,27,3,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,"",2010-07-01,"10854","",,""
"232522443010854","22339564010478",2003,1,1,27,4,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,"",2010-07-01,"10854","",,""
"232522387010854","22339654010478",2003,1,3,36,2,2003,0,0,0,0,0,0,0,0,0,0,1,1,1,1,.9,1,"",2010-07-01,"10854","",,""
"232522388010854","22339654010478",2003,1,3,36,3,2003,.2,.1,.2,.1,.2,.1,.2,.1,.2,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522389010854","22339654010478",2003,1,3,36,4,2003,.15,.1,.2,.1,.1,.1,.1,.1,.2,.1,2,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522390010854","22339758010478",2003,1,3,101,2,2003,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,1,"",2010-07-01,"10854","",,""
"232522391010854","22339758010478",2003,1,3,101,3,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.8,1,"",2010-07-01,"10854","",,""
"232522392010854","22339758010478",2003,1,3,101,4,2003,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522333010854","22332901010478",2003,1,5,44,2,2003,.125,.125,.1,.1,.2,.2,.1,.1,.1,.1,1,1,2,2,3,1,"",2010-07-01,"10854","",,""
"232522334010854","22332901010478",2003,1,5,44,3,2003,.025,.025,0,0,0,0,0,0,.1,.1,1,1,0,0,2.7,1,"",2010-07-01,"10854","",,""
"232522335010854","22332901010478",2003,1,5,44,4,2003,.125,.025,.1,0,.2,.1,.1,0,.1,0,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522378010854","22332976010478",2003,1,7,32,2,2003,.3,.2,.3,.2,.3,.2,.3,.2,.3,.2,1,1,3,1,5,1,"",2010-07-01,"10854","",,""
"232522379010854","22332976010478",2003,1,7,32,3,2003,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522380010854","22332976010478",2003,1,7,32,4,2003,.325,.225,.3,.2,.2,.2,.4,.3,.4,.2,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522366010854","22333226010478",2003,1,13,50,2,2003,.05,0,.1,0,0,0,0,0,.1,0,1,1,3,3,5,1,"",2010-07-01,"10854","",,""
"232522367010854","22333226010478",2003,1,13,50,3,2003,.3,.1,.3,.1,.3,.1,.3,.1,.3,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522368010854","22333226010478",2003,1,13,50,4,2003,.1,0,.1,0,.1,0,.1,0,.1,0,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522336010854","22333367010478",2003,1,17,41,2,2003,.05,.05,0,0,.1,.1,.1,.1,0,0,1,1,2,2,5,1,"",2010-07-01,"10854","",,""
"232522337010854","22333367010478",2003,1,17,41,3,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,"",2010-07-01,"10854","",,""
"232522338010854","22333367010478",2003,1,17,41,4,2003,.075,.075,.1,.1,.1,.1,0,0,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522459010854","22333615010478",2003,1,23,24,2,2003,.125,.125,.1,.1,.2,.2,.1,.1,.1,.1,1,1,2,2,.6,1,"",2010-07-01,"10854","",,""
"232522460010854","22333615010478",2003,1,23,24,3,2003,.025,.025,0,0,.1,.1,0,0,0,0,2,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522461010854","22333615010478",2003,1,23,24,4,2003,.4,.325,.4,.3,.4,.4,.5,.4,.3,.2,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522402010854","22333574010478",2003,1,23,39,2,2003,.25,.175,.3,.2,.2,.1,.2,.2,.3,.2,1,1,3,3,1.2,1,"",2010-07-01,"10854","",,""
"232522403010854","22333574010478",2003,1,23,39,3,2003,.225,.175,.2,.2,.2,.1,.3,.2,.2,.2,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522404010854","22333574010478",2003,1,23,39,4,2003,.1,.05,.1,.1,.1,0,.1,0,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522384010854","22333682010478",2003,1,25,31,2,2003,.125,.1,.1,.1,.1,.1,.2,.1,.1,.1,1,1,1,1,5,1,"",2010-07-01,"10854","",,""
"232522385010854","22333682010478",2003,1,25,31,3,2003,.125,.1,.2,.1,.1,.1,.1,.1,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522386010854","22333682010478",2003,1,25,31,4,2003,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522342010854","22333936010478",2003,1,29,8,2,2003,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,1,"",2010-07-01,"10854","",,""
"232522343010854","22333936010478",2003,1,29,8,3,2003,.1,0,.1,0,.1,0,.1,0,.1,0,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522344010854","22333936010478",2003,1,29,8,4,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522339010854","22333984010478",2003,1,31,30,2,2003,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,"",2010-07-01,"10854","",,""
"232522340010854","22333984010478",2003,1,31,30,3,2003,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,"",2010-07-01,"10854","",,""
"232522341010854","22333984010478",2003,1,31,30,4,2003,.15,.05,.1,0,.2,.1,.1,0,.2,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522462010854","22334057010478",2003,1,33,22,2,2003,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,1,1,1,1,2.8,1,"",2010-07-01,"10854","",,""
"232522463010854","22334057010478",2003,1,33,22,3,2003,.075,.075,.1,.1,.1,.1,0,0,.1,.1,1,1,0,0,3.9,1,"",2010-07-01,"10854","",,""
"232522464010854","22334057010478",2003,1,33,22,4,2003,.125,.125,.2,.2,.1,.1,.1,.1,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522438010854","22334099010478",2003,1,35,27,2,2003,.3,.175,.2,.1,.3,.2,.3,.2,.4,.2,0,1,0,0,5,1,"",2010-07-01,"10854","",,""
"232522439010854","22334099010478",2003,1,35,27,3,2003,.175,.05,.1,0,.2,0,.2,.1,.2,.1,1,1,0,0,3.5,1,"",2010-07-01,"10854","",,""
"232522440010854","22334099010478",2003,1,35,27,4,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,"",2010-07-01,"10854","",,""
"232522417010854","22334235010478",2003,1,37,40,2,2003,.025,.025,0,0,0,0,0,0,.1,.1,1,1,2,2,3,1,"",2010-07-01,"10854","",,""
"232522418010854","22334235010478",2003,1,37,40,3,2003,.075,.05,.1,.1,.1,0,0,0,.1,.1,1,1,0,0,5,1,"",2010-07-01,"10854","",,""
