"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASDAY","MEASMON","MEASYEAR","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"232522130010854","22339564010478",2003,1,1,27,17,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522112010854","22339654010478",2003,1,3,36,25,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522113010854","22339758010478",2003,1,3,101,24,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522094010854","22332901010478",2003,1,5,44,17,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522109010854","22332976010478",2003,1,7,32,24,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522105010854","22333226010478",2003,1,13,50,7,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522095010854","22333367010478",2003,1,17,41,7,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522136010854","22333615010478",2003,1,23,24,10,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522117010854","22333574010478",2003,1,23,39,6,8,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522111010854","22333682010478",2003,1,25,31,29,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522097010854","22333936010478",2003,1,29,8,8,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522096010854","22333984010478",2003,1,31,30,8,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522137010854","22334057010478",2003,1,33,22,24,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522129010854","22334099010478",2003,1,35,27,23,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522122010854","22334235010478",2003,1,37,40,14,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522128010854","22334299010478",2003,1,39,16,21,7,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522101010854","22334461010478",2003,1,41,54,16,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
"232522132010854","22334597010478",2003,1,43,17,30,6,2003,"",2010-07-01,"10854","",2014-11-06,"489998"
