"","X.1","PLT_CN","PREVDIA.EM","DIA.EM","PREVDIA.AM","DIA.AM","PREVDIA.EITHER","DIA.EITHER","PREVDIA.OTHER","DIA.OTHER","PREVDIA.TOT","DIA.TOT","BASAL.EM","BASAL.AM","BASAL.EITHER","BASAL.OTHER","PREVSTEM.EM","STEM.EM","PREVSTEM.AM","STEM.AM","PREVSTEM.EITHER","STEM.EITHER","PREVSTEM.OTHER","STEM.OTHER","PREVSTEM.TOT","STEM.TOT","REMPER","latitude","longitude","elevation","grm.out","X","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage","map","mat"
"1",1,107390404010478,16.9,16.9,155,155,0,0,0,0,171.9,171.9,115.461384001059,939.587530835635,0,0,2,2,21,21,0,0,0,0,23,23,NA,30.088087,-99.084418,1970,0,3350,11.708056957963,0.828173265912963,20.4868333333333,11.3307,0.81777,20,7.98,7.63,1794,106158,59553,1211460,0,547.8,122.4,0,0,0,0,0,2129.1,NA,1488,808.130004882812,17.8899993896484
"2",2,107391226010478,0,0,270.2,270.2,0,0,0,0,270.2,270.2,0,2458.5947027361,0,0,0,0,25,25,0,0,0,0,25,25,NA,30.294813,-99.617313,2100,0,3351,11.5016582194045,0.799446017673,10.2751666666667,10.4692127071823,0.76774226519337,10,7.92,7.58,4342.78453038674,46064.5359116022,36138.1712707182,1767513.3038674,310.198895027624,728.967403314917,294.688950276243,0,0,0,31.0198895027624,0,1473.44475138122,NA,744.477348066298,693.049987792969,18.2299995422363
"3",3,107401220010478,0,0,15.2,15.2,0,0,0,0,15.2,15.2,0,92.2999921624681,0,0,0,0,2,2,0,0,0,0,2,2,NA,28.360989,-99.937779,800,0,3354,4.61960244407407,0.383989447940741,20.4868333333333,4.5881,0.38308,20,8.095,7.78,73247,66222,45586,1989422,283,283.7,365.8,141.5,0,0,14.5,0,17549.3,NA,842,519.97998046875,21.8700008392334
"4",4,107404920010478,0,0,49.2,49.2,5.8,5.8,0,0,55,55,0,283.67010865589,26.4207942166902,0,0,0,7,7,1,1,0,0,8,8,NA,33.816723,-96.039821,490,0,3356,4.53242323333333,0.363287708111111,20.3175,4.5074,0.36218,20,7.855,7.535,17526,80978,41140,2092842,0,338.4,129,40.6,0,0,44.4,14.8,3730.8,NA,3640.4,1134.88000488281,17.1000003814697
"5",5,107410712010478,56.6,56.6,0,0,0,0,0,0,56.6,56.6,717.241310777818,0,0,0,4,4,0,0,0,0,0,0,4,4,NA,32.24876,-99.2618,2040,0,3359,10.8079478833333,0.758667816744445,21.0371666666667,10.7508,0.75642,20,7.955,7.56,5622,50286,35304,1631970,378,475.8,234,0,0,0,30.6,75,2140.8,NA,950.4,709.5,17.9099998474121
"6",6,107412001010478,0,0,75,75,0,0,0,0,75,75,0,376.26855212045,0,0,0,0,12,12,0,0,0,0,12,12,NA,33.958627,-98.357608,980,0,3360,3.16823970666667,0.216015426266667,20.508,3.1037,0.21219,20,6.245,5.64,7973,32536,72550,327427,777,6657.1,452.2,79.9,0,32.4,0,0,1442,NA,NA,785.369995117188,17.4300003051758
"7",7,107413522010478,0,0,163.2,163.2,0,0,0,0,163.2,163.2,0,1104.04990625106,0,0,0,0,21,21,0,0,0,0,21,21,NA,34.910909,-100.48478,2370,0,3361,3.48845409,0.283671939262963,20.2328333333333,3.2538,0.27225,20,8.17,7.685,1396,35167,34077,970170,0,340.5,200.3,101.8,0,0,100.6,89.3,1011.1,NA,504.2,614.440002441406,15.6899995803833
"8",8,107415501010478,21.7,21.7,265.6,265.6,0,0,0,0,287.3,287.3,210.683057331366,1887.06045923178,0,0,2,2,32,32,0,0,0,0,34,34,NA,31.51933,-97.71874,950,0,3362,12.4362544977778,1.36950737927778,22.159,11.8354,1.3458,20,7.935,7.575,6111,93609,47317,1111759,1670,625.8,412.8,90.6,0,14.7,10.6,0,2264.9,NA,31.8,864.330017089844,18.8400001525879
"9",9,107424713010478,0,0,38,38,0,0,0,0,38,38,0,243.08073157151,0,0,0,0,5,5,0,0,0,0,5,5,NA,29.981312,-97.472457,450,0,3365,2.74218014814815,0.276903194074074,24.2333333333333,2.6028,0.26988,20,6.635,5.985,6246,29046,45618,348420,849,9494.7,494.4,71.7,0,28.5,84.6,0,509.4,NA,1051.2,891.72998046875,19.8999996185303
"10",10,107428720010478,0,0,65.3,65.3,0,0,0,0,65.3,65.3,0,348.520435007618,0,0,0,0,10,10,0,0,0,0,10,10,NA,31.584398,-96.973003,460,0,3366,1.82776436,0.2118261218,20.5715,1.7497,0.20821,20,5.725,5.07,6344.3,35403,48363,363555.1,7324.6,3679.2,304.1,14.9,0,62.6,79,114.8,544.1,646.8,NA,921.510009765625,19.1299991607666
"11",11,107429512010478,81.5,81.5,12.7,12.7,0,0,0,0,94.2,94.2,484.504273018252,63.6565211433632,0,0,11,11,2,2,0,0,0,0,13,13,NA,30.597275,-99.389476,1750,0,3367,4.9283178162963,0.377024284592593,21.8626666666667,4.7202,0.36883,20,6.85,6.285,4460.2,76239.8,69839.8,412100.4,1035.6,5212.5,578.3,26.9,0,26.9,0,94.9,1285.2,NA,242.1,699.640014648438,18.3799991607666
"12",12,107431510010478,0,0,142.4,142.4,0,0,0,0,142.4,142.4,0,824.495283971373,0,0,0,0,20,20,0,0,0,0,20,20,NA,31.658919,-98.651373,1530,0,3368,1.88438906111111,0.101035790555556,24.0216666666667,1.78,0.09464,20,7.515,6.92,1604.8,32853.6,21987.6,383899.2,775.2,2039.2,518.4,128,0,0,16.4,272.4,235.6,NA,206,767.460021972656,18.25
"13",13,107432987010478,33.9,33.9,158.1,158.1,0,0,0,0,192,192,192.980182728387,1416.39490185259,0,0,5,5,16,16,0,0,0,0,21,21,NA,32.36732,-100.199946,2360,0,3369,7.99681879259259,0.478889763192593,26.6886666666667,7.0092,0.45536,20,8.085,7.74,3731.4,100319.5,98271.3,1310041.3,552.7,389.4,441.2,110.3,0,0,97.2,244.2,1694.7,NA,559.8,618.429992675781,17.2800006866455
"14",14,107441756010478,0,0,130.9,130.9,0,0,0,0,130.9,130.9,0,1300.28163737591,0,0,0,0,13,13,0,0,0,0,13,13,NA,33.255202,-100.608354,1970,0,3371,3.11565702333333,0.299823983666667,20.254,2.7009,0.27447,20,7.32,6.9,1506,128791.5,53776.6,815388,114.1,1410.3,527.4,0,0,147.2,13.1,97.9,2412.6,NA,3480.3,593.789978027344,16.9300003051758
"15",15,107443326010478,0,0,5.7,5.7,0,0,0,0,5.7,5.7,0,25.5175863287831,0,0,0,0,1,1,0,0,0,0,1,1,NA,33.828636,-100.505063,2080,0,3372,1.79783839,0.1559323964,20.0423333333333,1.7777,0.15525,20,8.075,7.57,955.3,48573.2,21344.8,854388.5,171,73.4,293.6,0,0,13.9,0,22.8,1285.6,NA,183.5,606.159973144531,16.7199993133545
"16",16,107447893010478,0,0,81.2,81.2,0,0,0,0,81.2,81.2,0,555.70061653023,0,0,0,0,10,10,0,0,0,0,10,10,NA,34.719173,-100.351766,1930,0,3373,3.37376199722222,0.271458260833333,20.2751666666667,3.2432,0.26463,20,8.055,7.73,6531.4,89591,92698.1,975530.1,232.7,60.5,293.8,61.1,0,0,12.1,121.6,3434.3,NA,292.2,613.02001953125,16.3700008392334
"17",17,107448252010478,0,0,223.1,223.1,0,0,0,0,223.1,223.1,0,1338.56194385991,0,0,0,0,31,31,0,0,0,0,31,31,NA,33.611507,-98.255287,1040,0,3374,2.65695061185185,0.158224065914815,20.8678333333333,2.4918,0.14977,20,6.395,5.755,4639.3,20372,60589.8,321550.4,1352.3,5326.3,1094.7,15.7,0,0,49.7,0,1224.2,NA,NA,811.22998046875,17.5400009155273
"18",18,107451637010478,0,0,62,62,0,0,0,0,62,62,0,413.072310057254,0,0,0,0,8,8,0,0,0,0,8,8,NA,30.99533,-101.990416,2250,0,3376,7.41164972,0.497561196866667,20.0846666666667,7.3669,0.49486,20,8.115,7.73,5037,105813.2,39660.4,1916451.1,262.3,152.8,269.7,102.2,0,0,0,0,1519.4,NA,500.5,388.579986572266,18.8400001525879
"19",19,107456124010478,0,0,44.4,44.4,0,0,0,0,44.4,44.4,0,274.48095014414,0,0,0,0,6,6,0,0,0,0,6,6,NA,32.315379,-98.517856,1490,0,3377,5.10535566222222,0.449679592533333,22.032,5.0204,0.44576,20,7.84,7.29,5271.2,83035,26666.8,1335104.2,0,359.2,217,77.2,0,0,91.8,0,1429,NA,342.8,810.169982910156,17.8199996948242
"20",20,107457217010478,0,0,128.2,128.2,0,0,0,0,128.2,128.2,0,1403.94634096274,0,0,0,0,12,12,0,0,0,0,12,12,NA,31.894709,-99.153193,1550,0,3380,1.87709466074074,0.107367856414815,20.6773333333333,1.7597,0.10059,20,5.865,5.245,4218.9,50744.8,23495.4,187379.2,4577.2,4087.8,1554.6,0,0,103.8,0,0,1098.7,NA,NA,737.210021972656,18.1200008392334
"21",21,107462425010478,0,0,7.3,7.3,0,0,0,0,7.3,7.3,0,41.85386812745,0,0,0,0,1,1,0,0,0,0,1,1,NA,32.202558,-103.03803,3210,0,3381,2.44020048592593,0.139713951362963,20.8043333333333,2.3492,0.13739,20,8.2,7.73,1333.1,79360.6,25658.8,1028772.4,71.5,42,226.1,0,0,28.3,0,56,1076.9,NA,493.6,345.070007324219,17.3600006103516
"22",22,107464991010478,39.9,39.9,356,356,0,0,0,0,395.9,395.9,282.248537980141,3549.71695521764,0,0,5,5,32,32,0,0,0,0,37,37,NA,31.176211,-97.621282,760,0,3382,9.70944859259259,0.481521072592593,22.1166666666667,9.0422,0.46372,20,8.05,7.575,2776.8,42450,23955.9,1338420.1,358.5,228.7,252.5,0,0,0,53.6,71.5,1873.7,NA,621.8,871.469970703125,19.2900009155273
"23",23,107465971010478,0,0,33.2,33.2,0,0,0,0,33.2,33.2,0,181.788258899973,0,0,0,0,5,5,0,0,0,0,5,5,NA,32.826643,-101.255082,2460,0,3383,4.77303034962963,0.37046758717037,20.3386666666667,4.5874,0.36016,20,7.855,7.545,2971,151530.6,51117.2,1598586.6,290.4,130.4,331.8,65,0,0,91.4,0,1516.6,NA,289.6,526.130004882812,17.1499996185303
"24",24,107477184010478,0,0,25,25,0,0,0,0,25,25,0,124.045785926993,0,0,0,0,4,4,0,0,0,0,4,4,NA,31.341459,-102.780098,2410,0,3385,1.63619162111111,0.0784952090555556,20.4656666666667,1.5672,0.07599,20,8.25,7.765,4083,205880,30376,865116,1397,157.2,956.3,19,0,0,52.9,0,10028.7,NA,2241.8,327.290008544922,18.5300006866455
"25",25,107477434010478,0,0,21.3,21.3,0,0,0,0,21.3,21.3,0,120.299436687587,0,0,0,0,3,3,0,0,0,0,3,3,NA,31.476631,-103.306484,2700,0,3386,0.851772740740741,0.0152159614814815,20.8466666666667,0.8234,0.01432,20,7.55,7.125,716,51910,13425,172914,1790,877.1,1414.1,71.6,0,0,71.6,0,1843.7,NA,1181.4,308.630004882812,18.4200000762939
