"","PLT_CN","PREVDIA.EM","DIA.EM","PREVDIA.AM","DIA.AM","PREVDIA.EITHER","DIA.EITHER","PREVDIA.OTHER","DIA.OTHER","PREVDIA.TOT","DIA.TOT","PREVSTEM.EM","STEM.EM","PREVSTEM.AM","STEM.AM","PREVSTEM.EITHER","STEM.EITHER","PREVSTEM.OTHER","STEM.OTHER","PREVSTEM.TOT","STEM.TOT","REMPER","prevTPA","TPA","latitude","longitude","elevation","X","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage","map","mat"
"1","20024946010478",0,0,20.2,32.5,0,0,0,0,20.2,32.5,0,0,3,5,0,0,0,0,3,5,3.4,18.054138,30.09023,29.937678,-94.54186,50,565,3.14267376,0.2186319688,20.1905,3.0783,0.21751,20,5.145,4.465,7835.5,10081.5,24819,274100.4,5586.3,597.2,1039.1,0,0,115.8,14.1,531.6,1083.5,780.4,NA,1470.60998535156,20.2600002288818
"2","20219125010478",21.27,25.1,0,0,0,0,0,0,21.27,25.1,3,3,0,0,0,0,0,0,3,3,9.2,0,0,28.353406,-81.182144,60,608,13.7655139448148,0.793777551911111,34.5838333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240.34997558594,22.4300003051758
"3","20223779010478",44.6,48.15,53.1,55.34,0,0,0,0,97.7,103.49,5,5,7,7,0,0,0,0,12,12,9.2,0,0,28.957754,-80.931322,0,614,3.3843981386372,0.214382557137712,25.5456666666667,2.97268784530387,0.186434861878453,20,4.515,3.8,1076.67955801105,1041.96685082873,3461.65193370166,19805.1491712707,2859.57458563536,33.575138121547,453.833149171271,73.3149171270718,0,33.575138121547,44.7668508287293,58.6519337016575,1048.49116022099,285.957458563536,NA,1300.5400390625,21.7700004577637
"4","20235963010478",26.3,30.14,0,0,0,0,0,0,26.3,30.14,3,3,0,0,0,0,0,0,3,3,8.5,0,0,29.107763,-82.323619,120,634,1.82035804444444,0.0162857391666667,20.4021666666667,1.0201,0,20,4.85,4.245,298,0,742,4750,9141,248.6,2252.1,33.3,0,26,104,192.8,1505.1,2852.4,NA,1313.2900390625,21.1599998474121
"5","20242517010478",16.8,25.1,0,0,0,0,0,0,16.8,25.1,3,3,0,0,0,0,0,0,3,3,8.6,0,0,30.364438,-81.849022,80,636,4.45695166222222,0.0951422832592593,20.3386666666667,3.4515,0.0663,20,3.97,3.215,2743,1976,5343,21372,3926,293.8,378.3,71.5,39,88.4,42.9,198.9,1693.9,696.8,NA,1311.93994140625,20.5
"6","20248419010478",76.65,82.6,0,0,0,0,0,0,76.65,82.6,5,5,0,0,0,0,0,0,5,5,8.1,0,0,27.544667,-81.220934,50,638,5.50844001611111,0.146652264,20.4445,4.0464,0.0912,20,3.745,3.005,2034,1824,3702,8172,6576,176.4,1402.2,22.8,0,208.8,0,270,1095.6,547.8,NA,1222.64001464844,22.6399993896484
"7","20260044010478",104.6,108.9,0,0,0,0,0,0,104.6,108.9,7,7,0,0,0,0,0,0,7,7,8.3,0,0,28.802947,-82.441381,90,644,3.02326138,0.026784808,20.381,1.506,0,20,4.88,4.245,2805,0,2073,6828,12330,346.8,1973.4,0,11.1,25.5,0,0,1485.9,4031.7,NA,1327.64001464844,21.4899997711182
"8","20634870010478",165.1,172.2,116.8,130,8,8,0,0,289.9,310.2,14,14,15,16,1,1,0,0,30,31,6,180.54138,174.523334,35.125854,-86.027752,1040,652,7.85198327889503,0.490108339553131,22.4765,7.59264419889503,0.477262541436464,20,6.7,6.45,2189.72375690608,38781.6574585635,247131.580110497,756830.232044199,293.580110497238,544.220994475138,132.496132596685,53.1524861878453,0,11.8972375690608,88.8729281767956,0,1336.03093922652,NA,550.583425414365,1450.18005371094,14.4099998474121
"9","20634989010478",185.1,191.74,32,34.87,0,0,33.7,34.4,250.8,261.01,18,18,6,6,0,0,5,5,29,29,5.4,168.505288,156.469196,36.107582,-83.636934,900,653,0.216155693333333,0.00722028866666667,4.52966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133.86999511719,14.5699996948242
"10","20635049010478",91.8,95.2,88.7,92.42,0,0,0,0,180.5,187.62,9,9,8,8,0,0,0,0,17,17,5.6,102.306782,96.288736,36.144769,-82.860695,1600,654,4.5636937,0.242603509,21.27,4.3601,0.23434,20,5.865,5.25,206,9390,18144,108846,857,5307.5,79.1,19.5,0,81.3,30.4,145.3,1297.6,941.3,NA,1109.36999511719,13.6899995803833
